LC50,MLOGP
3.77,1.453
3.115,1.348
3.531,1.348
3.51,1.807
5.39,1.886
1.819,0.706
3.947,2.942
3.513,2.851
4.402,2.942
3.021,1.591
3.21,1.769
2.371,1.591
3.919,1.769
3.03,1.859
2.736,0.981
2.157,0.143
2.413,1.199
0.898,-0.115
0.45,1.107
3.733,1.807
2.976,-1.169
6.535,3.988
5.643,4.068
4.629,3.395
4.838,2.526
4.081,3.112
3.436,2.51
3.45,2.591
1.102,-0.937
4.257,1.748
5.386,0.024
3.393,2.837
1.308,-0.521
3.554,2.242
2.269,1.06
4.165,2.813
5.896,5.089
4.829,3.562
4.59,2.066
2.092,3.492
3.665,2.274
3.56,2.102
4.805,2.37
3.174,1.533
7.899,3.906
2.67,1.565
4.016,0.787
3.857,2.193
5.522,2.217
4.851,2.849
3.84,2.642
4.586,2.642
5.284,3.795
3.559,2.296
4.091,2.942
4.33,3.21
3.755,1.859
4.552,3.478
3.62,2.127
4.459,2.127
2.827,1.859
6.38,0.411
4.786,1.619
3.861,0.408
3.262,2.026
6.297,0.094
3.546,1.672
2.92,1.817
3.203,0.347
2.283,0.347
1.559,0.202
3.47,0.094
4.748,0.202
2.576,-1.053
5.259,0.202
4.564,0.202
4.37,0.202
0.053,-1.053
2.381,-1.306
2.891,-0.386
1.088,0.706
3.721,2.274
3.701,3.291
6.083,2.05
4.628,6.203
3.7,1.869
1.842,1.064
3.396,-1.96
2.99,1.492
3.573,0.479
2.271,1.442
2.085,1.587
3.822,2.942
3.29,1.859
3.84,3.21
3.979,2.127
3.47,1.859
3.314,0.893
4.031,0.057
4.74,4.063
4.194,3.045
3.447,2.608
2.364,0.846
3.645,2.876
2.07,1.195
2.27,1.05
3.513,1.506
2.811,0.846
2.832,2.248
1.639,-0.063
2.016,0.846
1.651,-0.063
4.097,2.06
3.123,0.996
3.231,0.996
5.052,2.604
3.572,2.419
2.436,0.8
2.567,0.548
1.795,-0.534
5.072,-0.786
2.156,-0.534
1.037,-0.128
1.932,0.8
2.505,0.156
1.524,0.408
3.048,0.156
5.115,3.291
2.856,1.795
4.366,-0.45
4.976,2.849
2.94,1.795
4.538,3.516
3.391,2.604
2.692,1.209
3.825,1.064
3.206,-0.226
1.78,-0.081
0.533,-0.081
3.299,3.124
2.914,0.468
1.18,-0.544
3.168,2.021
3.446,2.129
3.496,0.538
4.68,3.126
3.252,1.587
2.98,1.587
3.936,0.076
5.47,2.604
1.842,-0.917
0.15,-0.917
3.736,2.604
3.719,1.94
1.749,0.454
3.507,1.94
3.979,1.795
5.363,4.673
4.396,3.186
3.984,3.186
1.02,-0.129
2.973,1.466
3.182,3.289
5.055,3.953
4.822,3.503
0.33,-0.937
4.819,3.806
5.219,4.098
5.268,4.379
3.139,5.579
2.858,0.496
4.191,2.619
4.416,2.813
3.537,1.697
4.38,1.57
1.408,1.064
2.936,1.209
8.471,3.115
5.861,5.149
5.574,4.789
3.852,1.89
5.244,0.787
2.548,5.426
5.276,3.461
3.924,2.294
6.379,5.207
4.705,3.764
4.96,2.359
3.766,1.701
3.641,0.828
4.108,3.587
4.42,2.956
5.29,2.736
2.392,1.097
3.87,2.402
5.642,4.295
4.287,0.893
4.79,4.063
4.296,2.729
6.607,1.976
3.759,2.239
3.278,1.239
3.118,0.922
3.237,0.291
3.267,2.193
3.933,2.509
4.486,0.491
4.305,1.401
3.927,1.969
4.35,2.723
4.809,1.919
4.499,2.273
4.65,3.395
2.604,1.312
3.629,2.129
4.07,2.193
2.93,1.49
3.727,1.442
3.095,1.121
6.4,0.893
2.65,0.202
2.851,0.076
4.208,2.06
3.654,0.655
3.81,1.373
0.931,-0.473
3.178,0.434
6.255,4.379
2.732,-1.186
4.448,3.234
1.086,0.749
2.586,0.8
2.117,0.133
3.955,2.459
4.278,1.112
3.112,2.455
6.897,5.469
6.424,0.202
5.78,4.177
1.05,0.982
3.926,3.048
6.284,1.971
3.451,2.005
3.477,1.595
4.967,2.859
5.985,5.206
6.351,1.821
6.207,2.573
4.68,2.922
4.475,2.294
3.24,2.821
5.478,1.155
4.62,2.637
5.048,3.818
7.045,0.454
1.307,0.133
2.149,3.267
3.025,1.294
2.425,0.8
9.612,2.749
1.771,-0.521
4.603,0.888
5.311,1.121
4.713,2.314
4.32,2.545
4.051,1.742
1.47,-1.053
2.583,0.586
2.474,0.314
4.51,3.562
3.007,2.226
2.84,1.373
4.557,2.06
3.604,2.274
6.564,3.574
4.41,3.503
5.38,3.467
6.113,4.912
3.374,2.242
3.109,1.467
2.451,1.297
5.395,-0.059
4.109,2.715
3.25,2.042
4.767,1.433
5.012,1.845
2.739,1.795
7.809,3.315
4.338,2.786
4.182,1.769
1.134,0.706
5.178,3.105
3.219,1.246
3.11,1.246
3.07,1.58
2.883,1.882
4.451,4.038
2.924,0.602
5.339,1.459
2.226,1.587
6.5,4.207
4.732,3.182
1.234,0.158
6.233,4.833
2.107,1.209
4.47,2.813
5.678,3.659
3.046,-0.297
4.92,0.057
2.782,1.313
5.229,2.679
4.737,2.938
4.342,2.646
7.691,4.764
4.727,4.548
3.979,2.42
5.51,4.044
6.143,4.038
2.115,0.242
5.189,2.429
5.383,3.11
4.557,2.345
5.184,1.661
4.886,2.459
5.434,3.374
5.632,4.19
6.317,2.359
2.74,1.467
6.525,4.207
5.82,2.459
3.889,2.343
4.095,2.59
5.052,3.16
4.368,2.689
5.568,3.909
4.458,1.748
3.458,2.446
5.667,3.618
4.544,2.214
6.347,4.57
2.608,2.481
5.18,3.806
3.779,0.655
5.029,1.57
4.697,2.2
4.674,4.416
4.384,4.416
7.346,4.76
2.395,0.874
3.638,-2.03
6.54,3.311
3.38,1.064
4.961,1.514
3.603,1.437
3.842,2.297
4.116,2.031
5.73,3.225
4.38,3.291
4.182,0.915
3.841,1.579
3.726,1.182
4.208,3.259
4.305,3.358
8.571,4.332
4.425,4.23
3.328,2.056
3.77,1.121
4.512,-0.463
5.653,3.913
3.775,3.046
3.599,2.726
3.757,1.117
3.623,6.515
4.22,2.51
5.63,4.234
3.1,1.06
3.298,2.481
4.064,3.386
3.691,1.042
4.635,2.433
5.472,1.746
4.577,2.592
5.147,2.27
3.112,1.68
5.278,3.184
4.891,3.051
4.32,2.391
4.295,2.357
3.926,1.834
8.207,4.452
4.154,2.994
3.57,1.564
1.812,0.314
5.68,4.431
2.961,0.652
6.72,3.109
6.484,4.651
5.039,4.017
4.169,3.19
5.393,2.931
6.314,3.213
5.087,2.054
2.44,1.94
3.588,1.66
4.508,1.602
6.018,1.321
4.854,1.654
6.023,3.32
5.062,2.358
3.463,0.37
5.018,1.878
7.382,5.361
4.043,1.759
4.117,1.851
3.838,0.215
4.244,-0.165
5.558,1.064
4.239,5.176
6.171,3.896
4.739,1.395
4.215,2.646
5.262,4.203
5.933,1.654
4.811,2.433
5.19,3.522
3.656,2.527
6.047,3.842
5.999,4.066
4.136,3.167
2.069,-1.169
3.297,1.145
5.303,2.116
2.941,1.717
5.93,3.617
3.696,2.335
5.86,3.508
4.119,1.748
6.038,4.054
4.951,3.305
6.213,4.379
3.555,2.841
4.739,2.371
6.258,1.145
6.784,3.109
3.751,1.953
6.569,5.339
6.882,5.472
8.132,-1.265
1.153,1.188
3.36,2.57
4.227,2.799
4.269,3.571
3.782,3.046
3.854,1.795
8.169,3.557
5.63,2.974
4.777,2.773
3.903,-0.197
5.65,2.702
5.159,3.661
6.645,3.737
6.446,3.948
4.865,0.548
5.066,3.062
3.895,2.553
2.056,1.313
3.601,1.091
4.257,2.604
5.002,2.11
2.286,-0.316
4.96,2.206
3.598,1.002
3.608,2.841
5.277,2.841
3.513,2.296
3.387,2.502
3.141,2.357
3.528,1.619
3.18,2.502
5.307,4.639
4.302,4.738
3.518,1.442
1.055,0.787
5.752,3.617
3.086,1.586
3.521,1.701
3.926,3.259
3.168,1.801
2.692,1.548
3.974,2.42
2.715,-0.129
2.681,0.779
7.429,6.166
4.424,3.458
3.815,0.143
3.662,2.446
3.481,0.435
4.224,1.395
1.231,-0.703
1.301,0.113
4.539,3.026
4.075,2.352
5.104,4.639
4.513,0.489
1.647,0.226
7.64,4.579
4.912,1.748
4.02,2.51
5.449,1.886
